지점,지점명,일시,평균기온,최저기온,최고기온,평균최저기온,평균최고기온,평균 해면기압,합계 강수량,일 최다 강수량,평균 상대습도,합계 일조시간,일조율,합계 일사량,평균 풍속,최다 풍향,합계 소형 증발량,합계 대형 증발량
90,속초,1968,11.7,-11.4,35.8,8.5,15.3,1015.5,1262,170.3,69.2,2245.6,50.49,,2.2,270,1582.4,
90,속초,1969,11.6,-12.2,33.8,8.4,14.9,1015.5,1390.1,139.7,65.9,2036.8,45.91,,2.4,270,1646.5,
90,속초,1970,11.6,-15.6,35.2,8.6,14.7,1016.3,1362.3,206.3,65.5,2230.6,50.28,,3.4,270,1624.3,
90,속초,1971,12,-10.1,35.4,8.9,15.2,1015.7,1239.2,176,64.8,2253.5,50.79,,3.6,270,1656.1,
90,속초,1972,11.9,-8.4,34.4,8.7,15.1,1015.1,1339.3,145.8,68.7,2344.4,52.71,,3.3,270,1404.6,
90,속초,1973,12.1,-12.1,34.6,8.6,15.5,1015.7,1136.3,79.2,67.4,2191.8,49.4,,3.5,270,1340.9,502.1
90,속초,1974,11,-12.6,33.8,7.5,14.4,1015.8,1144,109.4,67.6,2049.2,46.19,,3.3,270,1130.4,615.5
90,속초,1975,12.2,-9.8,34.1,8.7,15.4,1015.9,1474.1,96,70.3,2065.6,46.55,,3.1,270,1158.4,580
90,속초,1976,11.9,-14.7,33.3,8.4,15.4,1015.3,1366.2,221.4,65.8,2258.9,50.79,,3.4,270,1238.2,652.3
90,속초,1977,11.9,-14.7,34.4,8.7,15.4,1015.8,1112,80.1,66.3,2271,51.19,,3.3,270,1203.7,656.1
90,속초,1978,12.7,-13.9,34.7,9.4,16.5,1014.9,1602.3,113.8,64.3,2275.3,51.28,,3.3,270,1283.3,729.6
90,속초,1979,13.2,-9.4,34.7,9.7,16.8,1014.8,1313.1,121.9,64.2,2078.3,46.85,,3.4,270,1405.9,726.1
90,속초,1980,11.5,-13.6,32.8,8,15.4,1014.7,1022.5,117.3,64.8,2132.4,47.94,,3.5,290,1203.3,653.7
90,속초,1981,11.2,-16.2,35.8,7.3,15.3,1014.7,1416.3,142,65.8,2203.4,49.67,,3.3,290,1262.5,692.8
90,속초,1982,12.3,-12.3,32.6,8.6,16.2,1016.1,1100,198.1,67.7,2444.5,55.1,,3.1,270,1221.5,745.3
90,속초,1983,11.8,-10.7,35.8,8.2,15.6,1015.9,1196.5,138.1,66.7,2280.1,51.23,,3.3,270,1140.9,662.4
90,속초,1984,11.2,-12.9,35.6,7.8,14.7,1015.8,1741.7,314.2,68.3,2344.9,52.57,,3,270,1069.8,585.2
90,속초,1985,11.9,-13.4,34.7,8.5,15.3,1015.6,1184.1,98.6,64.1,2245.9,50.46,,3,270,1115.9,600.8
90,속초,1986,10.5,-14.4,32.9,7.2,14.2,1015.4,1378.6,155,64.3,2210.3,49.66,,3.1,270,1128.9,625.3
90,속초,1987,12.2,-8.8,33.8,8.8,16,1015.3,1290.9,81.8,64.8,2403,53.98,,3.2,270,1256.7,670.6
90,속초,1988,12.3,-10.8,33.2,8.8,16.1,1015.1,927.9,133.7,60.9,2232.9,50.05,,3.4,270,1352.8,697.4
90,속초,1989,12.2,-9.3,33.6,8.8,15.8,1015.6,1580.1,111.9,73.2,2063.9,46.37,,2.9,270,1173,649.2
90,속초,1990,12.4,-13.8,33.2,9.1,16.1,1015.5,2011.7,240.8,72.1,1975.2,44.38,,3,290,1125.2,606.9
90,속초,1991,11.9,-13.6,32.4,8,15.9,1015.2,1008.7,128.3,70.2,2201.6,49.46,,3,290,,
90,속초,1992,12.4,-8.6,35.7,8.6,16.7,1015.2,1556.4,139.4,75,1988.6,44.57,,2.9,290,,
90,속초,1993,11.6,-10.3,30.6,8.1,15.5,1015.3,1405.3,178.3,73.7,2059.5,46.27,,3,290,,
90,속초,1994,13.1,-11.9,35.3,8.9,16.9,1014.9,1109.2,187.2,69.4,2272.7,51.06,,2.8,290,,
90,속초,1995,12.2,-11.3,34.3,8.1,16.3,1014.4,1097.5,102,66.6,2251,50.57,,2.9,290,,
90,속초,1996,11.5,-14.3,34.6,7.5,15.7,1014.2,1249.6,174.5,68.7,1953.4,43.77,,2.8,320,,
90,속초,1997,12.6,-10.1,35.9,8.7,16.9,1013.7,1402.5,142.3,68.2,2094.4,47.05,,2.8,320,,
90,속초,1998,13,-13.1,32.1,9.6,16.7,1014.5,1797.7,194,68.7,1920,43.14,,2.9,320,,
90,속초,1999,12.9,-10.8,33.3,9.3,16.8,1014,1722,195.7,63.8,2119.3,47.61,,3,320,,
90,속초,2000,12,-10.9,33.7,8.1,16,1014.7,1345.2,93.3,62.6,2145.7,48.09,,2.7,290,,
