Entity,Code,Year,Annual greenhouse gas emissions in CO2 equivalents
World,OWID_WRL,1850,4216864500
World,OWID_WRL,1851,4314936300
World,OWID_WRL,1852,4381056000
World,OWID_WRL,1853,4459687400
World,OWID_WRL,1854,4547728400
World,OWID_WRL,1855,4571633700
World,OWID_WRL,1856,4614482000
World,OWID_WRL,1857,4664652000
World,OWID_WRL,1858,4696172500
World,OWID_WRL,1859,4772474000
World,OWID_WRL,1860,4659264000
World,OWID_WRL,1861,4581871000
World,OWID_WRL,1862,4570386000
World,OWID_WRL,1863,4592377300
World,OWID_WRL,1864,4605874000
World,OWID_WRL,1865,4594452000
World,OWID_WRL,1866,4636967000
World,OWID_WRL,1867,4688634000
World,OWID_WRL,1868,4681590000
World,OWID_WRL,1869,4706873300
World,OWID_WRL,1870,4952273400
World,OWID_WRL,1871,5102981600
World,OWID_WRL,1872,5237430000
World,OWID_WRL,1873,5366615600
World,OWID_WRL,1874,5397048000
World,OWID_WRL,1875,5499267600
World,OWID_WRL,1876,5560804400
World,OWID_WRL,1877,5654601700
World,OWID_WRL,1878,5737810400
World,OWID_WRL,1879,5841595000
World,OWID_WRL,1880,6009233000
World,OWID_WRL,1881,6024196000
World,OWID_WRL,1882,6160638000
World,OWID_WRL,1883,6312331000
World,OWID_WRL,1884,6344400400
World,OWID_WRL,1885,6359458000
World,OWID_WRL,1886,6437946400
World,OWID_WRL,1887,6567063600
World,OWID_WRL,1888,6718681000
World,OWID_WRL,1889,6725160400
World,OWID_WRL,1890,7130888700
World,OWID_WRL,1891,7321271000
World,OWID_WRL,1892,7390585000
World,OWID_WRL,1893,7461595000
World,OWID_WRL,1894,7568626000
World,OWID_WRL,1895,7719436300
World,OWID_WRL,1896,7830416000
World,OWID_WRL,1897,7941905000
World,OWID_WRL,1898,8086188500
World,OWID_WRL,1899,8337091600
World,OWID_WRL,1900,8544012300
World,OWID_WRL,1901,8673253000
World,OWID_WRL,1902,8813169000
World,OWID_WRL,1903,9047735000
World,OWID_WRL,1904,9180333000
World,OWID_WRL,1905,9372825000
World,OWID_WRL,1906,9543475000
World,OWID_WRL,1907,9994790000
World,OWID_WRL,1908,9925420000
World,OWID_WRL,1909,10113475000
World,OWID_WRL,1910,10185901000
World,OWID_WRL,1911,10223932000
World,OWID_WRL,1912,10351878000
World,OWID_WRL,1913,10660399000
World,OWID_WRL,1914,10313037000
World,OWID_WRL,1915,10238461000
World,OWID_WRL,1916,10493294000
World,OWID_WRL,1917,10673731000
World,OWID_WRL,1918,10652984000
World,OWID_WRL,1919,10121874000
World,OWID_WRL,1920,10881138000
World,OWID_WRL,1921,10535131000
World,OWID_WRL,1922,10803109000
World,OWID_WRL,1923,11319195000
World,OWID_WRL,1924,11383323000
World,OWID_WRL,1925,11520146000
World,OWID_WRL,1926,11451168000
World,OWID_WRL,1927,11872531000
World,OWID_WRL,1928,11885215000
World,OWID_WRL,1929,12254562000
World,OWID_WRL,1930,12002224000
World,OWID_WRL,1931,11642410000
World,OWID_WRL,1932,11350571000
World,OWID_WRL,1933,11586585000
World,OWID_WRL,1934,11997494000
World,OWID_WRL,1935,12234545000
World,OWID_WRL,1936,12712446000
